epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/Bicycle,val/AP/Bus,val/AP/Hatchback,val/AP/LCV,val/AP/MUV,val/AP/Mini-bus,val/AP/SUV,val/AP/Sedan,val/AP/Tempo-traveller,val/AP/Three-wheeler,val/AP/Truck,val/AP/Two-wheeler,val/AP/Van,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,9,,,,,,,,,,,,,,,,,,0.1346534639596939,0.0,0.0,0.11349301785230637,0.0329880528151989,0.0,0.0,0.0,0.0,0.21582335233688354,0.0,0.1115989089012146,0.0,0.06651776283979416,289.5666809082031,289.4333190917969,289.0666809082031,57.70410919189453,0.06851459294557571,0.05176212638616562,0.177217036485672,5.168064594268799,0.02541249617934227,0.02673313394188881,0.03020494431257248,1.1661275625228882,1.1528949737548828,1.1045475006103516,0.21553638577461243,0.2174665480852127,0.23336797952651978,0.0624752938747406,0.046812061220407486,0.054221417754888535,0.16890695691108704,0.08048433065414429,0.07359815388917923
0,9,3863.0,3870.00634765625,3735.24365234375,77.04052734375,6.455922603607178,0.03577326983213425,0.03863609582185745,0.05452496558427811,1.426173448562622,1.3787858486175537,1.3341103792190552,0.24909183382987976,0.2634173035621643,0.323581725358963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,,,,,,,,,,,,,,,,,,0.09549955278635025,0.0011052268091589212,0.0,0.16330179572105408,0.08632248640060425,0.017999999225139618,0.08018123358488083,0.01421499252319336,0.0,0.3805338740348816,0.0037054279819130898,0.25559839606285095,0.0,0.11559659242630005,289.29998779296875,289.29998779296875,289.0,56.01224136352539,0.11878496408462524,0.0827362909913063,0.3878476619720459,4.989917278289795,0.02626049891114235,0.026086222380399704,0.02845044806599617,1.101641297340393,1.1067659854888916,1.0723450183868408,0.21019181609153748,0.21643948554992676,0.22595837712287903,0.12098658084869385,0.08449715375900269,0.09139310568571091,0.3899266719818115,0.15767773985862732,0.09883424639701843
1,19,3879.1875,3883.39990234375,3823.612548828125,47.77252197265625,5.217994689941406,0.02721499279141426,0.03160867467522621,0.044911693781614304,1.1306461095809937,1.116564154624939,1.0479077100753784,0.2020190954208374,0.2188371866941452,0.2812435030937195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29,,,,,,,,,,,,,,,,,,0.04102463647723198,0.0058471509255468845,0.0,0.25420692563056946,0.09061841666698456,0.01923076994717121,0.20522649586200714,0.04795468598604202,0.0,0.47156912088394165,0.00598857831209898,0.3450413942337036,0.0,0.14687004685401917,289.5,289.4666748046875,289.3666687011719,52.24199295043945,0.1543758511543274,0.11546623706817627,0.47526541352272034,4.80599308013916,0.0245932936668396,0.02455725148320198,0.028164543211460114,1.068286657333374,1.0451627969741821,1.0395522117614746,0.20468275249004364,0.20907805860042572,0.21944746375083923,0.15428604185581207,0.11436216533184052,0.13109558820724487,0.48107507824897766,0.14957621693611145,0.17099621891975403
2,29,3878.8125,3884.800048828125,3825.53125,46.247459411621094,4.96633243560791,0.02698737382888794,0.0285351425409317,0.04000638797879219,1.061904788017273,1.0709424018859863,1.0078097581863403,0.20266258716583252,0.21017885208129883,0.2611740529537201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39,,,,,,,,,,,,,,,,,,0.021344872191548347,0.08901407569646835,0.0,0.35157570242881775,0.10853835940361023,0.02812499925494194,0.12203454226255417,0.12947584688663483,0.0,0.4777642786502838,0.015841122716665268,0.3846621513366699,0.0,0.16194035112857819,289.76666259765625,289.6333312988281,289.6666564941406,50.124671936035156,0.17765332758426666,0.13167475163936615,0.523578941822052,4.633991718292236,0.023941056802868843,0.02539954148232937,0.03049335442483425,1.0100338459014893,0.9935130476951599,0.9593656659126282,0.20099684596061707,0.20891688764095306,0.22604107856750488,0.17945130169391632,0.1329519897699356,0.14637891948223114,0.5171699523925781,0.2047407329082489,0.15236245095729828
3,39,3882.15625,3884.1875,3691.425048828125,39.16486740112305,4.597001075744629,0.02518538571894169,0.02588571235537529,0.032576724886894226,0.998979926109314,0.9976968765258789,0.9562856554985046,0.1906937062740326,0.1960703581571579,0.22613544762134552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,,,,,,,,,,,,,,,,,,0.017655227333307266,0.0994405671954155,0.0,0.29777389764785767,0.1457972228527069,0.025714285671710968,0.21040965616703033,0.1397636979818344,0.014633594080805779,0.547976016998291,0.01816641539335251,0.4153425097465515,0.0,0.18328602612018585,289.76666259765625,289.73333740234375,289.70001220703125,41.915523529052734,0.19840379059314728,0.14597851037979126,0.5760164260864258,4.576949596405029,0.024155255407094955,0.024701178073883057,0.03139067068696022,0.9739169478416443,0.9780150055885315,0.9450183510780334,0.20012398064136505,0.20340512692928314,0.23585277795791626,0.200636088848114,0.14866715669631958,0.1647472381591797,0.5752326250076294,0.21008509397506714,0.2554855942726135
4,49,3884.981201171875,3885.93115234375,3636.012451171875,36.91079330444336,4.5102925300598145,0.027790511026978493,0.02887234091758728,0.032720305025577545,0.9173498153686523,0.9334878921508789,0.8921257853507996,0.21042203903198242,0.21783888339996338,0.2319459468126297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,59,,,,,,,,,,,,,,,,,,0.02371026575565338,0.19915203750133514,0.0,0.33824753761291504,0.16189482808113098,0.035999998450279236,0.26374468207359314,0.14944542944431305,0.022034654393792152,0.5653129816055298,0.12234276533126831,0.4335551857948303,0.0,0.21785570681095123,289.70001220703125,289.79998779296875,289.79998779296875,42.94681930541992,0.23169533908367157,0.17481625080108643,0.593082845211029,4.3753437995910645,0.02270847000181675,0.023536857217550278,0.02681012637913227,0.9447111487388611,0.942310094833374,0.9333604574203491,0.1898813396692276,0.1947607696056366,0.2102002203464508,0.23433814942836761,0.17811079323291779,0.19782258570194244,0.5986821055412292,0.2638499438762665,0.23424836993217468
5,59,3887.05615234375,3887.481201171875,3696.14990234375,34.24449157714844,4.3935627937316895,0.02604306861758232,0.027397936210036278,0.032199181616306305,0.8949975967407227,0.9214223623275757,0.886354923248291,0.19905981421470642,0.20708949863910675,0.22514426708221436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,69,,,,,,,,,,,,,,,,,,0.014304392039775848,0.20634335279464722,0.0,0.3372705578804016,0.12063811719417572,0.18000000715255737,0.21765169501304626,0.1758439540863037,0.03516189381480217,0.5651240348815918,0.17655260860919952,0.4404592216014862,0.0,0.22499848902225494,289.70001220703125,289.73333740234375,289.79998779296875,45.296714782714844,0.24515169858932495,0.1863582581281662,0.5839061737060547,4.362205982208252,0.02328140288591385,0.023685188964009285,0.02645842172205448,0.9311549067497253,0.938084065914154,0.9246857166290283,0.19184042513370514,0.19662629067897797,0.21211141347885132,0.24965700507164001,0.18994998931884766,0.21456953883171082,0.5818876624107361,0.2771679759025574,0.2334126979112625
6,69,3883.65625,3886.64990234375,3773.387451171875,28.15615463256836,4.017780303955078,0.023651178926229477,0.02500813640654087,0.02894320711493492,0.8268524408340454,0.8578359484672546,0.8345608711242676,0.17535418272018433,0.18169726431369781,0.1982080191373825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
